,Name,Author,User Rating,Reviews,Price,Year,Genre,Quantity
0,10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,2
1,11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,1
2,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction,7
3,1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,8
4,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,4
5,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction,7
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction,2
7,A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,1
8,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,3
9,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction,7
10,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,1
11,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,5
12,A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,6
13,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction,8
14,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,2009,Non Fiction,6
15,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,Non Fiction,6
16,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction,3
17,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction,7
18,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8,2015,Non Fiction,9
19,Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,7
20,All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,Fiction,9
21,All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction,9
22,Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction,8
23,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction,6
24,And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction,7
25,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,Non Fiction,1
26,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction,4
27,"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Non Fiction,8
28,Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction,6
29,Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Non Fiction,6
30,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction,8
31,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,Non Fiction,1
32,Becoming,Michelle Obama,4.8,61133,11,2018,Non Fiction,8
33,Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction,1
34,Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Non Fiction,3
35,Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Non Fiction,4
36,Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction,1
37,Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,4
38,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,Fiction,1
39,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,Non Fiction,7
40,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Fiction,9
41,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction,7
42,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction,3
43,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction,2
44,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction,3
45,Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction,1
46,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Fiction,8
47,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction,1
48,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction,2
49,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction,5
50,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Non Fiction,2
51,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction,3
52,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,2
53,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction,5
54,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction,5
55,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction,6
56,Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Fiction,3
57,Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction,4
58,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,Non Fiction,8
59,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Non Fiction,1
60,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,Fiction,1
61,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fiction,5
62,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction,2
63,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction,8
64,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction,7
65,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction,3
66,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction,7
67,Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction,8
68,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction,4
69,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,Non Fiction,7
70,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Non Fiction,8
71,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,6
72,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction,7
73,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,3
74,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction,6
75,Divergent,Veronica Roth,4.6,27098,15,2013,Fiction,8
76,Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,5
77,Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,7
78,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,Non Fiction,2
79,Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,4
80,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Fiction,7
81,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Fiction,9
82,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction,9
83,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,Fiction,4
84,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction,2
85,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction,2
86,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction,8
87,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Fiction,4
88,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,1
89,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Non Fiction,7
90,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction,7
91,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,Non Fiction,3
92,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,Non Fiction,5
93,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,Non Fiction,6
94,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Non Fiction,3
95,Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fiction,7
96,Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fiction,8
97,Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Non Fiction,8
98,Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,5
99,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,Non Fiction,4
100,Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction,8
101,Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Fiction,3
102,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction,1
103,Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Non Fiction,2
104,Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction,1
105,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction,5
106,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Fiction,6
